Gene	cluster
LIMD2	15
LIMCH1	10
RINT1	2
NAA60	4
SYP	14
LIAS	4
UNK	2
MACROD2	10
TMEM168	19
LHX5	3
LHX4	3
BRWD3	5
LHPP	5
ZNF776	6
LHFPL4	5
LGI3	6
LGALSL	6
MED11	9
FABP3	9
LGALS4	1
LGALS3BP	7
OSGIN2	3
ATP12A	6
LINC00847	9
LETMD1	2
LEPROTL1	17
LEPR	2
EPS15L1	5
LENG8	14
MAP4K4	10
LIMK2	21
LEFTY1	4
ANKRD37	13
ENO2	14
OAT	17
EXD3	19
LCORL	10
LCOR	10
LCNL1	3
MYDGF	9
ABCC5	5
LCN12	1
LCLAT1	5
NUP85	4
PKP4	10
SUPT4H1	9
POMGNT2	6
NME6	6
COMTD1	15
VPS13D	5
PLEKHM2	2
CDC42BPA	10
LCA5L	1
KLF11	6
MDH2	17
LBH	8
ZNF396	9
PLPPR4	5
BRK1	17
SLC9A6	14
ZNF764	1
KIAA0232	5
PPP1CC	6
LAT2	25
NDUFS7	17
LAT	1
LASP1	2
CEP192	5
ZNF326	14
LARS2	5
LIMS2	1
STXBP5	10
LANCL3	3
LANCL2	19
SPON1	8
SUCLG1	17
TRNP1	23
NSMCE4A	11
LAMC3	3
LAMC2	3
NRXN3	10
LAMC1	5
GSKIP	2
SCAF8	5
LAMA4	3
LAMA2	20
LAMA1	3
STXBP5L	10
MFSD11	5
DPM1	2
SMIM1	1
GCH1	3
TMEM181	5
ATF7	7
FBXW8	5
ZEB2	10
PAFAH2	18
L3MBTL3	22
MAP6D1	7
L3MBTL2	4
NUMBL	4
KYAT1	19
KY	3
KTN1-AS1	2
TMEM243	4
HNRNPA1	12
KSR2	10
LETM2	13
SERBP1	17
PCDHA2	1
PRCC	2
GNG3	17
MORN2	9
FAM89B	15
DRG1	2
TIMM29	4
PTTG1	11
ARID1A	5
LMCD1	3
NT5DC3	19
LRSAM1	19
MAML2	10
MYBBP1A	6
ZNF324	6
MLEC	17
BOC	3
CERCAM	7
BAAT	1
CIB2	6
PUF60	9
KIAA1549L	10
CRTAC1	3
TRIP11	5
TSPAN7	14
KRT8	3
GLRX2	14
STOX2	10
RASGEF1B	10
LTBP3	2
ECT2	11
ADCK1	4
KRR1	2
BRSK1	19
KRAS	17
LAMTOR3	6
KPNA6	2
KPNA3	5
OXNAD1	2
KNTC1	4
KNSTRN	11
KNL1	11
ARMC5	1
BAIAP2	19
SLC5A3	4
KMT5A	18
KMT2B	4
KCTD11	6
KLRG1	3
KLLN	1
CXXC1	4
LHFPL5	19
HIGD2A	12
RAB21	2
PPIG	14
CALCB	3
KLHL7	5
KLHL42	5
PHF21B	3
ELK1	6
KLHL29	5
PFKFB2	3
KLHL28	22
VPS8	10
MBOAT7	14
TRIM2	10
KLHL26	6
KLHL25	4
CLCC1	4
KLHL22	19
ANKIB1	10
KLHL20	6
KLHL2	5
BNIPL	1
KLHL17	1
KLHL15	6
KLHL14	3
KLHL11	6
CDC23	9
KLHL1	8
TRIP10	3
KLHDC3	17
KLF6	3
KLF3	3
NME2	17
KLF15	3
KLF12	10
SCML1	18
KLC1	5
KISS1R	3
LRRC49	5
PPP3CA	10
NCDN	14
KIFC3	8
SNX24	5
PTMS	19
RRP8	15
LARP6	7
KIF6	7
ZNF69	2
KIF5B	14
KIF5A	14
KIF4A	11
NELFA	20
GMIP	1
KIF3C	14
KIF3A	10
PRKDC	5
PCNX3	6
KIF23	11
KIF22	11
KIF21A	10
KIF20B	11
KIF15	18
PTPN12	5
KIF13A	10
PRDX5	17
KIDINS220	10
KIAA2013	6
RNF141	7
KIAA1549	19
KIAA1217	10
KIAA0825	10
PEBP1	14
KIAA0586	5
THAP6	4
KIAA0319L	5
MEA1	9
COG6	5
ARID5A	3
PHLDB1	7
LIG4	18
KHNYN	3
BPTF	10
PROK1	3
KHK	9
HMGCLL1	5
MBD5	10
GDI1	14
LRRC20	4
KDM6B	6
CRB1	10
KDM5C	6
KDM5A	5
LINC00858	1
KDM1A	5
KDELR1	9
NBPF15	2
KCTD3	5
KCTD20	2
KCTD18	4
NIT2	4
KCTD10	4
KCP	3
KCNT1	19
KCNS2	3
LUC7L2	10
KCNQ5	10
KCNQ4	3
MZT1	23
DLG1	10
KCNN3	20
PEX19	4
CD200	14
KCNN2	10
TOR1AIP1	4
NOL4	10
TPI1	17
PMEPA1	19
KCNMA1	10
ATG7	10
TMEM126B	18
PDSS1	4
SCAMP2	18
KCNK12	2
KCNK10	20
RWDD1	17
KCNJ2	7
CDKN2AIP	6
C2orf88	2
ANAPC15	9
P3H3	4
KCNJ12	3
MT-ND1	27
SPCS3	14
PPFIBP2	3
KCNIP3	19
SC5D	23
KCNH4	8
KCNH1	10
ZNF600	1
PDCD10	17
KCNF1	6
TAGLN3	17
LCA5	20
KCND1	1
KCNC3	16
KCNC2	10
KCNC1	14
G6PC3	6
ZNF543	6
KCNAB2	19
LGALS3	3
KCNA4	11
ATAD1	5
KBTBD3	4
ASCL1	3
RPLP0	12
CNBP	17
CD81	14
MTMR11	1
AP4S1	19
APTR	2
NTNG2	19
PPP4R1	5
ZMYM6	2
GNPDA1	9
EXOSC8	11
SUPT20H	2
PNPLA7	2
NFXL1	2
KATNB1	4
VPS13B	10
KPNA4	5
KATNAL1	5
KATNA1	9
NCOR2	14
KDELR2	4
KAT7	2
KAT6A	5
KAT5	9
KAT14	9
AFTPH	5
PRLR	20
KANTR	5
MRPS16	2
KANSL2	4
ONECUT3	3
TMEM223	9
KANK4	3
KANK3	3
PATJ	10
JMJD1C	10
PRDX1	17
KALRN	10
JTB	15
ZNF223	3
JPX	22
JOSD1	2
JMJD8	6
JKAMP	17
JAZF1	10
MLLT11	17
ST3GAL4	7
JAKMIP2	10
JAK3	25
ELAVL2	10
JAK1	10
CMTM7	25
ADAMTS3	19
PLAGL2	18
PFDN2	17
LMNB1	11
JADE2	2
NCBP1	2
MVD	23
ZNF804A	10
IZUMO4	1
TTN	7
SNRPB2	17
SBF1	6
ITSN2	5
ITSN1	10
SPATA7	5
ITPRIP	3
KRBA2	4
ITPR2	10
TOMM7	12
ITPKC	4
ITPKB	3
ITPKA	19
SYN2	10
KCNAB1	12
IL12A	6
ITIH5	3
NCLN	4
CDC34	6
TMEM184C	2
ITGAV	7
F5	3
NPIPB3	1
MAPT	10
ITGA9-AS1	5
ITGA5	3
AKAP5	8
PPDPF	17
ISG20	3
MAP3K9	19
IRX6	3
AOC3	1
IRX2	3
IRGQ	4
IRF3	9
KIAA1958	10
RPA3	11
IRF2BP1	6
LPAR4	3
IRAK4	9
PTPN18	4
ZNF486	1
IQSEC1	10
IQCK	7
IQCG	3
COMMD9	9
MYL12B	17
METTL17	6
IQCE	18
LYPD6	8
IQCD	9
IQCC	6
MRPS11	2
IPO9	5
IPO13	7
PYROXD2	1
IPCEF1	2
HPCAL4	14
IP6K2	2
EPN2	10
INTS9	2
INTS12	3
FDFT1	23
GRIN1	10
ZBTB14	6
PLA2G4C	19
INPP5K	6
INPP5B	19
PHYH	3
INPP5A	19
INPP4B	10
INPP4A	5
INO80D	5
INO80B	15
INO80	5
INIP	2
INHBE	1
ING3	3
ING2	6
ING1	6
PITHD1	17
KLHDC1	5
GPS1	4
INF2	7
INE1	4
RABEP2	1
INCA1	1
INAFM2	6
AXIN1	2
IMPACT	6
IMPA1	2
LYST	5
IMMT	17
OAF	3
ILVBL	9
CALML4	1
ILKAP	7
ILK	9
IGFBP2	15
ILF2	17
PEX1	2
IL7	22
PNMA3	16
IL6ST	14
PEX10	9
KPNA2	11
BRCA1	11
SHQ1	4
MYOZ3	18
CYYR1	3
IL27RA	1
NUP210L	1
LPAR2	1
PM20D2	9
SLC6A17	14
IL21R-AS1	1
NBR2	4
LSM4	17
IL1RAP	10
SMOC2	8
NANOS3	15
ATG4A	4
PLPP5	3
IL17RA	8
TMEM178B	10
PPP1R16A	1
TBC1D13	4
IL11RA	1
PTCD2	4
IL11	3
BNC2	3
IRF2	2
IKZF2	7
IKBIP	4
IGSF8	14
AGO3	5
INSR	5
IGSF5	8
AKAP3	1
UBA7	1
DEDD	6
MPI	9
KANK1	7
SIRT4	9
ZNF292	10
PIGH	22
TMED3	4
NBEA	10
INTS8	5
ABI3BP	3
TMEM190	3
ZNF71	4
LHFPL2	25
NECTIN3	10
GLIS3	10
FOXP4	6
KAT2A	19
ITGBL1	1
NUP62CL	3
PSMC1	9
APH1A	9
FAM227A	20
TMEM35A	14
NOL11	4
SPNS2	16
TSR1	4
GNG2	10
MADCAM1	1
IVNS1ABP	8
NFKBIE	6
KANSL3	5
CNTD1	1
POLR2F	7
TBC1D4	10
U2AF1L4	9
GDAP2	2
NDUFA13	17
NKX6-1	3
SARS2	4
PROM2	1
PRC1	11
CIART	23
EFNA5	10
NAP1L2	14
NRN1	19
DCPS	9
IGIP	6
MRPL54	9
DPYSL3	12
SPEG	16
KIF16B	5
AQP5	6
NCKAP5L	1
POLR1D	17
PGGT1B	18
ATG9A	6
ABHD14A	17
NDFIP2	5
GPATCH1	9
OGFOD3	4
PIGQ	2
NPM1	17
LINC00877	7
PDK2	17
CORO1B	6
CDC42	17
KCMF1	5
MPP1	6
PTPMT1	15
FRAT1	6
IWS1	5
MIR497HG	6
POMT1	16
MAP2	10
SUSD6	25
KNOP1	7
MROH8	2
FAM151B	2
STK3	7
SLC22A18	3
ZBTB18	19
MTRF1	4
SLC46A3	4
RPE	5
NAGPA	19
LRRC3B	10
LAYN	3
TPRA1	6
LINC00471	1
EFNB1	3
LYPD6B	10
NPHP1	20
MIR9-3HG	19
ILF3	17
RBM22	9
SH3PXD2A	5
STT3A	4
NDRG3	5
MRPS31	2
PCNA	11
DPF1	19
MBNL1	10
SLC7A5	13
MTCH1	14
CLDN4	3
PKD1L1	2
MAPK8IP3	19
NIFK	9
IGFBPL1	3
IGFBP6	3
PARK7	17
IGFBP5	3
MROH6	1
MTA3	5
SPRYD7	2
IFT80	5
IFT57	8
IFT20	16
IFT172	5
JPH4	10
IFT140	4
TP53INP2	13
IFT122	20
IFRD2	23
ANKAR	14
HHIP	7
MKLN1	10
IFNAR2	2
MEGF8	2
ACKR3	21
YAP1	3
IFITM3	3
CEP19	9
PPP6R3	5
IFI27L2	9
IFI16	3
IFFO2	4
IFFO1	4
DCST2	1
IER5L	6
EAF2	7
MPLKIP	15
IDUA	1
IDS	14
IDI1	23
IDH2	11
ABR	5
RICTOR	5
IDH1	3
IDE	5
ID4	3
CMTM3	1
OTUD7B	7
ID1	13
NAE1	19
NKD2	3
ICMT	18
NFE2L2	7
KCTD16	10
CNOT6L	5
PCDHA12	4
IAH1	17
LGI2	8
HYOU1	23
ZBTB4	14
HYDIN	20
HYAL2	6
HYAL1	1
FBXO24	1
HUWE1	5
LMAN1	2
HTT	5
LGR4	25
MEIG1	1
IFI27	13
IER2	13
HTRA2	6
ERLIN2	6
TTC27	2
MEF2C	10
INHBA-AS1	19
NBR1	2
HTR2A	10
CSRNP2	19
LRP12	5
HSPH1	14
SPG21	6
HSPE1	17
HSPD1	17
NUP54	2
HSPA9	17
NUDT21	2
FOCAD	10
HSPA8	17
DOT1L	4
NUP214	19
LHX1	3
HSPA14	9
SLU7	17
HSPA12B	1
SP140L	4
HSPA12A	10
HSP90B1	17
LAMTOR2	9
IFNAR1	17
SLC25A1	1
HSF4	4
PLS3	8
HSDL2	18
ARFGEF3	10
HSD17B4	10
HSD17B14	3
HSD17B13	1
PPFIA1	5
CCDC126	4
HSD17B1	1
HSD11B1L	4
BRINP2	10
MAP4	5
HSBP1	17
MYO1E	7
PKD1	19
HS3ST4	10
HS1BP3	2
PKIB	3
TTLL1	4
HRK	19
HRH3	8
FICD	6
IGF2BP2	3
HRC	3
NOP16	9
HPX	1
HPS3	2
ALDH16A1	1
MOCS2	9
RBM3	9
CMTR1	4
ITGB3BP	20
PRPF38A	6
NIN	10
LYRM7	2
SDHAP1	4
HOXB3	3
RCC2	3
KMT2C	10
MFSD4B	22
OPRK1	3
ERN1	1
HOXA2	1
ADRA1A	10
HOMEZ	4
UVRAG	10
GPATCH3	1
ZBTB6	6
MTMR4	16
MRPL28	9
MLLT3	10
HOMER3	3
HOMER2	19
HOMER1	10
MYRF	7
HNRNPK	17
ERLEC1	17
HNRNPF	11
HNRNPDL	14
HNRNPA2B1	14
HNF4G	3
CNPY2	2
ADGRB3	10
HMOX1	3
INTS5	6
HMGXB4	17
FTO	10
TMEM138	9
HMGXB3	2
MIR600HG	15
NDUFC2	17
HMGN2	11
NDUFA1	17
HMGCS1	23
HMGCL	7
EFCAB13	25
HMGB1	14
INTS10	5
HMGA2	3
HMCN2	3
HMCES	4
USP27X	6
POLH	4
PDPR	2
NOL3	1
USP30	2
CRLF1	4
HLA-C	13
HLA-A	13
COX5B	17
HK1	5
HIVEP3	10
HIVEP2	10
HIRIP3	11
CEBPZ	17
HIPK3	5
HIPK2	7
TRIM29	3
HINT2	15
HINT1	17
HIKESHI	17
PCMTD2	14
CYP2D6	1
HID1	4
GABARAP	17
RB1	5
ZNF385B	10
LTV1	9
HIC2	4
HIC1	3
HIBADH	5
PPP3R1	2
TUBG2	16
CTU1	6
HGSNAT	5
HGH1	1
HGFAC	3
HFM1	14
SMAP1	5
SP4	2
HEY2	3
HEY1	6
HEG1	3
PLK1	11
HEXA	2
HESX1	1
METTL2B	2
RARG	18
HES7	3
KIF17	4
LINC00665	22
CYP4V2	3
PLEKHF2	3
NUS1	2
NEK9	2
PHPT1	17
OSBP2	10
HERC2	5
SP140	4
HERC1	10
LPCAT4	16
HENMT1	9
HEMK1	1
BBX	5
HELZ2	3
ITCH	5
HELZ	5
HELLS	11
COPZ1	9
LSM5	17
HELB	4
C1orf115	6
HECW2	10
SLC25A34	1
HECW1	10
NUDC	17
DUSP10	3
ZNF521	7
NIPSNAP3A	9
ABCA11P	1
HEATR6	6
CTSD	4
PDZD8	5
HEATR5B	5
SNTA1	3
SNX9	5
HDHD3	9
HDGF	6
C12orf60	4
HDAC4	10
FARSB	5
HDAC3	16
HDAC1	3
ZNF573	2
PDCD2L	1
HCN4	3
PCDH7	10
CXorf38	4
HCN1	10
NRG3	10
JAM2	3
NSL1	5
ADAP1	7
HCFC2	2
HCFC1R1	17
HCFC1	6
KLHL5	10
HBS1L	5
SUPT5H	2
NTAN1	23
NACA	12
ALDH9A1	9
HAUS8	11
HAUS7	4
HAUS5	1
HAUS4	1
PKN2	5
HAUS3	4
PIGK	5
EMP3	3
HAUS1	11
AP2A1	2
SLC26A2	6
ARPC1A	17
HAPLN3	3
NDUFV3	17
TFEB	7
MED6	18
HAGHL	16
HADH	2
KLHL18	2
HACL1	5
HACD4	1
HACD1	3
JUNB	13
CIITA	25
WBP1	6
MAP1LC3B	17
RBBP8	20
CD320	17
CHCHD4	9
SERTM1	13
PRDX3	17
LUZP1	5
SIN3A	2
KMT2E	10
WTIP	21
MTHFD1L	5
LNPK	5
RNF112	4
GALR1	3
ISCA2	9
RNF150	10
PLCL2	10
LYRM9	4
ZNF534	4
RBMS2	3
MAEL	4
ZBTB3	6
SOX21	6
GZMM	1
GYPC	3
FLNC	1
RUNDC1	4
SLC25A21-AS1	1
GUCD1	6
GTPBP8	9
ATP6V1B2	14
GTPBP10	2
SLC5A12	1
PHTF2	5
GTPBP1	6
GTF3C5	4
GTF3C4	6
KDM3A	2
FRMD6	19
GTF2IRD2	4
LARP1	5
GTF2I	5
GTF2H2	2
GTF2F2	2
GTF2E2	2
TRABD	23
PAWR	3
OPHN1	10
CDKL1	2
GTF2A1	2
GSTZ1	9
SLC7A14	7
MRPL30	4
GSTO2	2
C17orf75	9
GSTM4	9
TUBG1	9
GSTM2	1
SBSPON	1
IRS1	4
GSPT2	9
GLS2	2
STARD4	23
GSN	7
KHDRBS3	10
KCTD9	4
GSK3B	10
GSK3A	6
TAB3	2
GSG1L	19
GSE1	14
ANP32B	11
MBD2	19
GSDMB	4
NLE1	6
MATN1	3
ELF2	10
PTGR1	22
CHPF	6
PRSS36	6
HS3ST3B1	3
ZNF816	1
PCYT1B	3
CHERP	4
GRTP1	3
HNRNPA1L2	1
NIP7	18
TCOF1	6
CILP2	3
GRN	7
ATP8A2	10
DENND4B	4
GRM7	10
NAB1	19
GRM5	10
NFKB2	3
ARHGEF2	19
HECTD2	10
PHF10	2
GRIPAP1	19
GLRX	9
NMRK1	2
GRIP2	8
HSPBP1	6
GCLC	8
GRIP1	10
GRIN2D	3
GRIN2B	10
GRIK5	19
RAB11A	22
MAP3K1	7
PHF13	6
KLF7	5
C14orf119	9
GRID1	10
TDRKH	4
GRHPR	9
GRB2	19
EXOSC9	9
METAP1	2
NDUFS1	5
KBTBD4	6
NSA2	17
AIMP1	2
SART3	2
GRAMD1C	3
PGAP3	4
PCIF1	6
GRAMD1A	6
TPST2	2
NDRG1	7
GPX8	3
SNED1	5
IL10RA	1
POLQ	3
GPX4	17
ZNF616	1
GPT2	2
LIMS1	7
GPRIN1	6
EPPK1	3
FOXRED2	6
GPRC5C	3
GPRASP2	23
GPRASP1	2
GPR89A	2
ZNF557	4
GPR88	8
GPR85	6
TANC2	10
GPR83	3
LIPA	5
GPR63	19
LYPLA2	9
GPR61	6
GPR37	7
GPR27	6
PAGR1	4
ELAC1	9
PDP2	6
MAP4K2	4
GPR176	8
SLC17A8	3
GPR158	10
C16orf74	3
GPR157	3
TIA1	2
GPR156	3
IQCH	20
GPR153	3
DGKZ	10
LBR	11
UGCG	14
NAT9	16
GPR143	3
CABP4	1
SYNGR2	7
TRERF1	8
GPR137B	7
GPR12	3
AZIN1	14
GPR108	9
SNRNP48	4
USP13	19
GPN2	4
LINC00205	4
GPN1	9
ITGA10	3
KLHDC10	5
PLXNB2	4
RD3	21
GPLD1	5
DAGLA	4
BMS1	2
GPHN	10
GPD2	5
GPD1L	2
GPCPD1	2
KLF10	6
GPC6	10
GPC5	10
ALK	8
FAT3	10
GPC2	12
INAFM1	17
GPC1	16
MMS22L	11
BAG1	15
MAPRE3	14
MOBP	7
GPBP1	5
GPATCH4	9
NDST4	8
IRAK1	6
GPATCH2L	5
GPATCH2	5
GPATCH11	15
SEC61A2	5
GPAT4	2
GPAT2	1
GPAM	3
CTXN3	3
CDC26	9
GPAA1	15
FHL1	5
GDPGP1	1
CLDN11	2
ARL6IP1	12
CLCN6	2
CLCN4	14
AGTPBP1	10
CCDC148	5
STIM1	5
PEA15	11
RCL1	20
CORO1C	19
CKAP2L	11
ATOX1	17
RAI2	2
CSMD1	10
COL27A1	7
DRAIC	2
OAZ1	12
CPEB4	10
TMEM184B	5
LRPAP1	17
CBARP	13
PRKD2	3
SLC11A1	25
ITGB1BP2	1
LINC00645	3
CILP	1
RRAGA	15
CIB1	3
NTRK2	10
GLCCI1	5
CHURC1	17
CHST3	3
ATE1	5
RANBP17	10
MIR762HG	1
CHRM2	10
TMEM39B	2
CHRFAM7A	1
CHRAC1	6
TSPYL4	14
AKR1C1	6
CHMP7	6
METTL25	5
CHMP4B	2
BCL9L	6
TRAPPC2	4
PLCL1	10
B3GAT3	15
FBXW4	5
CHID1	9
IRF2BP2	6
RAB39A	4
NUP43	6
GOLT1A	3
CUX2	10
CHEK1	11
CHD7	7
GANAB	4
CHD1	5
CHCHD2	17
PARP10	1
RAD17	2
ZNF91	5
CHAF1A	11
RMI1	4
FBLL1	6
ABCD3	5
ZXDC	19
DIS3L	2
MIER1	5
PTCH1	2
MAPK6	2
MAML3	10
MAML1	2
C16orf87	19
CCDC71	9
COLEC12	3
EVA1A	1
DHX34	4
DPH6	10
ZNF569	2
AJUBA	3
CCNB1	11
ZRANB2	14
LINC01278	10
CCDC117	6
R3HCC1L	5
CGNL1	3
GNS	2
HES2	1
PHKG1	1
RAD50	5
SRSF9	15
NMNAT3	10
TSPAN11	3
CRYM	10
GOT1	17
LRRC45	1
PILRA	2
CIRBP	14
IPO8	2
RASAL2	10
PHB2	9
HMGN3	14
CHRNA4	3
RAB28	5
ZFAND2B	9
BSCL2	12
PDE1A	10
ABHD14B	6
DPY30	17
SMIM10L2B	23
OCA2	10
CFAP61	20
CFAP54	20
CFAP43	20
GJC2	7
STX5	2
RABL2B	2
LRRC47	9
TRIM8	6
ENPP5	17
TSTD2	2
SLC16A1	3
EDN1	6
TMEM191C	1
VPS54	5
CETN3	9
ANKRD26	5
ACAP1	3
CERS5	19
LTBP2	3
JAG2	4
DNAJA3	2
CERS1	16
DSC2	3
BRCA2	11
ATG14	2
STAC	3
BTN2A1	9
CTSB	14
CEP63	14
LGMN	14
GOPC	2
CEP295	19
NUP88	19
NSMAF	5
CEP112	10
CENPW	11
TRIP13	9
LDAH	5
C12orf4	2
PGK1	17
CENPU	11
CENPT	16
CENPP	5
FAM20C	3
CENPL	11
KCTD7	2
ATP6V0A2	2
ARPC1B	3
CENPK	11
CENPF	11
CEND1	17
MED8	9
ELP5	9
COPS4	17
CPQ	7
MYOM1	3
UQCR11	17
DR1	6
ZNF780A	4
MTM1	5
ITGA9	10
GATM	11
STAU2	10
KHDRBS2	10
ZNF32-AS1	6
GPNMB	3
THBS2	3
MAGT1	9
ERGIC1	19
RPA2	11
GRIN2A	10
ABHD17B	7
LRRC75B	1
KCNE2	18
URI1	10
CDT1	11
HMG20B	1
FAM234A	2
MRPS14	9
CDKN3	11
CDKN2D	17
NCAPD2	11
ANKRD34A	6
CDK8	5
NOXA1	16
FBXO22	5
CDK2AP2	9
CDK13	5
CDHR1	3
PA2G4	17
FUCA2	15
CDH7	8
GEMIN7	9
LSMEM2	1
OST4	17
OPA3	4
CDH3	4
HINFP	4
CDH24	3
CDH13	10
L1CAM	23
CDH2	10
NORAD	14
FBN3	3
CDH10	10
CCDC15	3
PPP2R1A	14
HAX1	9
PCM1	5
ZDHHC2	2
CDCA8	11
MTMR7	10
DRD4	1
CDCA7L	3
EFNB2	3
UTS2	1
CNKSR2	10
MTRF1L	9
FAM110A	6
C1R	3
ME2	5
YME1L1	5
CDC42SE1	22
CDC42EP4	3
DENND1B	10
CDC37L1	2
CDKL2	16
SH3GL3	10
GMPS	2
CDC27	5
CDC25B	8
G3BP2	5
CD99L2	16
DCDC2	20
WDR49	3
PITRM1-AS1	1
CD83	3
EXOC1	5
CD81-AS1	4
CHML	4
FANCG	1
ZNF256	9
KIF1C	4
SAMD8	19
BTG3	11
KIF7	3
COL1A1	3
ALKBH3	2
TRIM58	3
IKBKB	2
HRAS	17
CNOT10	19
TRAPPC2L	9
KIF3B	5
EBP	9
CEP250	2
CD2BP2	9
DUSP9	3
SH2D6	1
SPIN4	4
CD27-AS1	7
TRMT11	10
BIK	1
BPHL	4
MKRN3	7
CSK	6
ZNF700	4
CITED1	3
IGSF1	3
CHD8	5
CUL1	5
ZHX2	7
GOLIM4	10
IST1	2
CCT6A	17
ASPSCR1	4
PCK2	11
CCSAP	14
CDC40	5
TRMT5	9
CCS	16
CNNM2	5
GIPC1	19
FTSJ1	9
CHD5	19
EPDR1	14
ZNF638	10
PLPP7	2
CCNE1	6
CCNYL1	19
AFF1	10
GDE1	6
DSE	5
CCNL1	2
CCNJ	1
PELI1	19
CCDC102B	5
CCNI	14
CHST10	3
SCAMP5	14
CCNG2	7
SERPINB9	16
CCNF	1
AKT2	2
CYSRT1	1
CLPX	2
C16orf46	4
HOXB2	3
NR2C1	5
CCNA1	6
SIL1	5
DTX3	15
UBLCP1	2
ADAMTS6	10
FADS1	23
MVB12B	10
GLB1L2	1
NACAD	6
CACNA1C	10
CCKBR	4
MSN	3
CCER2	1
C11orf54	2
CEP95	5
PSMD9	4
CCDC81	3
ZNF124	2
POP4	9
NDUFB1	17
CRELD2	4
CCDC74A	3
CCDC59	2
HSPA4	17
FBXL17	10
RALA	5
CCDC34	11
CCDC33	1
EHD2	3
PPHLN1	5
CCDC25	17
SYNGR1	14
LRFN3	6
SMUG1	9
EMD	9
RYR3	10
LRIF1	26
ARID4B	10
CCDC191	20
RASL11B	6
CCDC186	17
CACNG8	19
TTLL7	10
CCDC80	3
SLC6A12	3
AFF4	5
CCDC66	5
NUDT9	2
CCDC167	11
ARAP1	3
DCP2	2
PNO1	3
POU6F1	2
CDC25A	11
GNAI2	23
PPCS	9
JAKMIP1	16
MMAA	6
ANXA2	3
HIRA	6
WIPF2	5
GRM4	8
DNM1	10
MEIS2	10
PVT1	10
CCDC13	1
CKS1B	11
CCDC7	5
CCDC120	1
CCDC12	2
ACTR2	5
CCDC115	9
ACBD4	6
CHD4	14
TMEM120B	19
PUDP	2
ZNF382	19
KRIT1	2
ARPC2	13
CC2D1B	1
IRAK2	3
EFCAB12	3
NAPRT	1
CCDC184	6
LACTB	4
CBX8	1
XKR8	1
CBX3	15
INPP5F	14
CBR4	5
IRAK1BP1	5
CBR3-AS1	4
MYO7A	3
CBLL1	6
GREB1L	10
SLC31A1	2
SNX31	2
MTAP	2
DYNC1LI2	14
GOLGA8K	1
SMAD1	5
CRACR2B	1
DDX24	14
PARP3	6
MRGBP	6
DSCAML1	10
PRPF40B	19
SLC25A23	2
MBIP	2
MIGA1	5
CDCA4	11
CAST	5
DESI1	4
FGD6	3
METRN	3
CASP8	1
CASP7	3
CASP6	1
MRPS33	9
CPVL	19
INPP5J	3
PCSK5	10
CASC2	20
HVCN1	3
MATN3	3
RIC3	5
GALT	4
C1orf74	9
CES4A	19
CENPS	9
OSBP	2
CD109	3
KAZN	10
HDHD2	4
L3HYPDH	2
MPP3	3
CCDC74B	1
CAPS	3
CDR2	5
ELP2	5
NELFB	6
CLEC2D	6
UBA5	19
PTPRJ	10
MFSD12	6
RAB39B	6
MAPKAPK3	18
ARPC5L	17
LRWD1	6
KPNA5	5
CAND2	2
PCYOX1	14
MUL1	6
CAMTA2	2
TMEM128	18
MRPL21	9
MED9	18
LATS1	19
MTDH	5
CAMTA1	10
UBE2J1	2
CAMKK1	19
CDPF1	9
CAMK1D	10
NETO1	10
RAPGEF5	10
ATP7A	4
PIH1D2	3
CALM1	14
ALG3	9
GJC1	3
ATAD3C	1
ZNF503	15
APMAP	17
NUP62	6
UQCC1	5
MECOM	13
CADM4	6
ARL14EP	2
CRIPT	18
STAG3	1
L3MBTL4	8
AP3M2	17
CADM1	10
CINP	9
CACNG2	5
CACNB4	10
CACNA2D1	10
TRIM52	2
ARL4A	19
SHARPIN	15
PRKAR2A-AS1	1
CD2AP	2
CACHD1	10
DGKA	4
SLC17A6	14
CABP1	10
ECHDC2	8
CABLES2	6
EXOC6B	10
CAAP1	2
CA9	3
PXDN	3
CALN1	10
LCMT2	6
RPL13AP20	1
ZNF702P	4
ATP6V0E2	14
CA11	19
C9orf50	1
GUSB	4
CEP68	2
FAM135B	10
PNN	16
C8orf89	1
IGBP1	17
ERP44	5
TBC1D31	2
CALU	13
EFCAB5	2
TBC1D7	4
DCLRE1B	6
HMGN4	6
C8orf44	5
KIF1A	14
ALG2	6
TXNDC12	9
C8orf34	10
PIM2	6
RNF14	2
PREP	5
CHGB	14
FEM1A	6
SLC25A13	7
LAG3	3
NUDCD1	2
TAF1	19
SYNE2	12
DMAP1	9
HABP4	5
SH3YL1	5
UQCR10	17
C6orf163	4
HMMR	11
NSUN6	5
CCNA2	11
KMT2A	10
AASDHPPT	14
PPP1R26-AS1	4
PDE12	6
KIF9	4
NCOR1	5
CAMSAP3	4
DICER1-AS1	4
FXN	4
MKNK2	6
TNFRSF12A	3
PRTFDC1	7
C5	3
RBCK1	4
ACSBG1	7
WDR70	5
PLCH1	10
FASN	6
CRAT	6
SLC45A1	6
C3orf38	2
C2orf80	19
C2orf76	4
C2orf68	1
CENPQ	4
IFI6	15
C2orf15	1
NBL1	6
GABRB3	10
DYNC1I1	10
CCDC146	20
ALG10B	6
CHN1	10
DCX	12
ALG14	2
CARD9	1
SH2D5	3
FIS1	17
STARD3	2
