Gene	x	y	cluster
BIRC2	1.43462388940849	-5.30769012510205	2
POMT2	-4.05891254581576	10.5617841440863	4
KLC3	-14.0078548369389	8.38142092862033	1
ZNF800	6.5900668400691	-6.47030727362588	2
POMP	-7.64243540363936	-7.16060929554312	17
PAK6	-11.4197021893132	12.6575497780134	4
POMGNT1	-6.97171862397909	14.0925839016825	4
POLRMT	-11.1279737480834	5.38162989006748	6
POLR3GL	-13.3468338467863	-0.512604688985369	9
POLR3C	-4.5263542610503	11.2437136245844	4
POLR2I	-9.10192794074522	-5.41756680847429	17
PIF1	-16.8815473834897	0.262254998404116	11
POLR2G	-12.7043344846157	-2.30746958134834	9
POLR2C	-10.4124960864991	-1.51986490727183	9
MRPL39	-4.4095248968534	8.40630697203673	4
POLR2B	4.34288184119587	-6.05500117907479	17
CCDC47	3.4361276052387	-5.68425866487285	14
ADAMTS16	6.85568069723352	-1.0272631219949	20
EPHB6	7.02150643961085	-2.66084403398556	19
KCTD4	-2.94457732395957	0.763056515035989	21
POLR1E	-13.4681798781175	2.04344670605405	9
FADD	-12.3155209312111	3.75746264885224	6
HIF3A	3.05918393126736	3.26534414523274	3
FAM193B	7.88302305798328	-9.78559235087851	5
VIPR2	3.0704499064315	1.74193534388343	3
POLG	-5.41456185608531	11.2981469280409	4
UGT8	5.29499173536237	5.34386457387795	7
POLE	-10.5411970074367	13.1709769038754	19
POLD3	5.66458569553978	-8.18794026552446	2
POLD1	-14.1855520437305	9.42489387222355	1
POLA2	-8.84374052962875	8.45312388579519	11
POFUT1	-5.25310225573809	11.1413187919778	4
PODXL2	11.0703129480094	-1.05958303746576	14
PODNL1	-14.7651369998039	6.55472722004614	1
PNPO	-9.87536556978686	3.18393640812229	6
PNP	-8.08976424976915	1.04118954787943	9
TOX3	7.66812761141749	1.3643051185896	10
KDM8	-10.6693752095102	8.43664490284453	1
PNMA6A	-9.65384834328042	1.99657221638723	6
ISG20L2	-6.06630961113738	11.5985300004521	4
PNMA1	-4.86683680602337	-7.87673787717358	17
PNKP	-7.50525193496657	13.0519287359319	4
PNCK	3.11100415281356	-13.0184525174606	8
PMM2	2.59518869184412	-7.66487449896462	2
SYNE4	-6.56431117569004	3.54457866849927	3
PMF1	-13.8911056619756	-1.10182581781539	9
UBA1	-1.86929008293674	-8.7278923557465	2
PMEL	-13.3996296498282	5.96721002400446	1
RANBP10	8.00082970208878	-9.984652023923	19
NDUFS5	-8.34727200631099	-7.40252258794307	17
PLXDC2	17.9941139961691	-0.480618484996418	10
CHMP1B	-12.9804067196915	12.7404910443923	4
TMEM191B	-12.3479433485348	6.03781592155279	6
PAK4	-6.69681956915394	10.5770119780505	4
PLS1	2.85278502800329	-3.20838430682103	22
PLPPR3	-1.92948448457674	3.05092927775554	23
PLPP1	14.4134989292377	-2.85964637111049	5
AP5Z1	-6.51675512112314	13.2965828365209	4
YTHDF1	-4.13387408549606	9.43615240197057	18
PLP2	-14.0707132463759	1.50447893327403	9
PLK5	-3.55168507987338	15.1099906885718	24
PLK4	-15.9387664429805	5.50362999510641	11
PLIN3	-5.7922242145694	1.96878407873995	3
PLIN1	-6.94879358408152	3.23780811101319	11
CSTF2T	-11.4736359847625	3.33696162258457	6
PLEKHO2	-7.13345156405055	3.52173270986127	3
PLEKHO1	0.236729717715894	4.96301422497083	3
PLEKHJ1	-10.5153299728338	-2.89411117257282	9
PLEKHH3	-6.72067480302614	5.15987104545421	3
PLEKHH2	3.47005554366955	2.8119644600215	3
PLEKHH1	5.43058092662922	5.38025602311932	7
TPMT	-1.44635750317843	9.93312469141163	6
ZCCHC8	2.07757389512947	-8.09849206761728	2
PLEKHG4B	1.27754616067686	2.80218321126306	3
PLEKHG4	-13.2836176878185	6.56334447754549	1
PLEKHA4	-6.19307840739863	3.65563672015474	3
DGCR2	7.31833623241699	-8.62802137219665	2
AVPI1	-11.8648948181798	1.96005118355943	6
PLCD3	-7.11867511369827	2.94490941793288	1
ARHGAP39	6.25151350406922	-10.985597952288	2
PLCB3	-13.3373763447448	7.33246670610977	1
PLCB1	20.1400918013897	-2.61809990931986	10
